date,product_type,price_per_ton,volume,destination_country,market_indicator
2024-10-09,OLIVE_OIL,"3895,14","143,97",Germany,RISING
2024-08-28,CITRUS_FRUITS,"1416,85","89,03",France,STABLE
2024-06-03,WHEAT,"814,71","88,72",France,VOLATILE
2024-04-08,OLIVE_OIL,"3614,11","123,23",Germany,STABLE
2024-04-02,WHEAT,"871,07","100,96",France,VOLATILE
2023-12-23,CITRUS_FRUITS,"1254,28","166,31",Germany,STABLE
2025-05-09,OLIVE_OIL,"3697,09","74,02",France,RISING
2025-02-05,DATES,"2794,87","173,49",France,FALLING
2023-03-31,CITRUS_FRUITS,"1064,56","142,11",France,RISING
2022-12-27,CITRUS_FRUITS,"1267,29","132,35",Germany,VOLATILE
2025-02-26,WHEAT,"777,56","52,29",Germany,FALLING
2025-09-26,DATES,"2173,23","184,65",Germany,STABLE
2025-10-21,DATES,"2336,51","113,48",Germany,VOLATILE
2023-09-04,WHEAT,"733,23","122,33",France,VOLATILE
2023-12-07,CITRUS_FRUITS,"1355,58","151,46",France,VOLATILE
2024-12-15,DATES,"2289,89","105,42",France,RISING
2023-03-26,DATES,"2975,01","135,79",Germany,RISING
2024-03-21,DATES,"2549,17","136,51",France,VOLATILE
2025-02-22,DATES,"2818,06","182,56",Germany,VOLATILE
2024-12-09,CITRUS_FRUITS,"1420,05","64,53",France,STABLE
2025-09-16,CITRUS_FRUITS,"1293,16","74,16",France,STABLE
2024-01-31,CITRUS_FRUITS,"1389,60","127,62",Germany,STABLE
2024-09-21,OLIVE_OIL,"3175,86","124,60",France,VOLATILE
2024-02-13,WHEAT,"771,77","132,63",France,UNPREDICTABLE
2024-02-17,OLIVE_OIL,"3177,01","156,89",France,STABLE
2024-09-18,CITRUS_FRUITS,"1169,48","56,15",France,UNPREDICTABLE
2025-01-08,DATES,"2303,69","145,92",France,STABLE
2025-08-23,OLIVE_OIL,"3535,28","89,60",Germany,VOLATILE
2024-01-27,WHEAT,"778,63","118,20",Germany,RISING
2024-07-21,DATES,"2414,41","138,31",Germany,UNPREDICTABLE
2025-09-22,OLIVE_OIL,"3511,36","87,14",France,RISING
2023-06-09,WHEAT,"831,13","172,02",France,VOLATILE
2024-02-23,CITRUS_FRUITS,"1474,40","90,05",France,UNPREDICTABLE
2023-05-16,CITRUS_FRUITS,"1294,93","161,83",Germany,VOLATILE
2024-09-13,DATES,"2142,41","130,61",Germany,FALLING
2023-09-28,CITRUS_FRUITS,"1337,76","175,98",Germany,FALLING
2023-08-07,CITRUS_FRUITS,"1404,16","167,98",Germany,STABLE
2025-11-29,DATES,"2422,04","194,50",France,FALLING
2023-06-04,CITRUS_FRUITS,"1410,44","181,32",Germany,STABLE
2025-12-13,DATES,"2420,65","140,13",France,UNPREDICTABLE
2024-09-19,CITRUS_FRUITS,"1311,43","75,90",Germany,STABLE
2024-06-08,CITRUS_FRUITS,"1196,45","60,50",Germany,RISING
2025-03-06,DATES,"2202,18","134,45",France,RISING
2023-05-06,DATES,"2416,88","134,02",Germany,UNPREDICTABLE
2025-03-23,CITRUS_FRUITS,"1460,19","55,06",Germany,VOLATILE
2023-03-02,OLIVE_OIL,"3741,52","59,48",Germany,STABLE
2023-09-01,OLIVE_OIL,"3727,64","54,31",France,UNPREDICTABLE
2024-01-09,WHEAT,"869,78","126,71",France,FALLING
2023-11-23,WHEAT,"809,99","51,83",Germany,VOLATILE
2024-01-12,CITRUS_FRUITS,"1337,41","153,45",France,RISING
2024-10-02,OLIVE_OIL,"3883,16","189,94",Germany,FALLING
2025-04-07,DATES,"2147,90","160,65",Germany,FALLING
2024-01-04,OLIVE_OIL,"3879,59","129,72",France,UNPREDICTABLE
2024-04-18,CITRUS_FRUITS,"1228,57","96,41",Germany,RISING
2025-09-03,CITRUS_FRUITS,"1230,84","152,11",France,UNPREDICTABLE
2024-12-07,WHEAT,"841,64","155,82",France,VOLATILE
2024-01-18,WHEAT,"749,69","80,26",France,VOLATILE
2025-04-06,OLIVE_OIL,"3878,81","131,77",France,STABLE
2024-04-09,OLIVE_OIL,"3329,55","176,93",France,UNPREDICTABLE
2024-08-26,CITRUS_FRUITS,"1116,38","169,18",France,RISING
2025-06-25,DATES,"2172,37","108,00",France,FALLING
2024-02-06,WHEAT,"820,73","82,55",France,VOLATILE
2025-01-11,WHEAT,"739,37","50,94",Germany,VOLATILE
2023-04-06,CITRUS_FRUITS,"1103,73","134,38",Germany,FALLING
2024-12-22,CITRUS_FRUITS,"1401,93","114,45",France,STABLE
2023-06-17,DATES,"2895,15","59,33",Germany,UNPREDICTABLE
2025-03-13,DATES,"2891,59","122,75",Germany,RISING
2024-08-21,DATES,"2004,50","56,69",France,VOLATILE
2023-02-07,WHEAT,"729,13","56,15",France,RISING
2024-07-12,CITRUS_FRUITS,"1110,99","160,98",France,VOLATILE
2023-06-14,WHEAT,"827,55","126,17",France,VOLATILE
2023-01-23,WHEAT,"722,92","138,30",France,VOLATILE
2025-03-07,WHEAT,"803,64","101,70",France,RISING
2024-04-11,CITRUS_FRUITS,"1120,94","143,20",France,STABLE
2023-11-02,OLIVE_OIL,"3837,40","89,87",France,FALLING
2023-12-21,CITRUS_FRUITS,"1004,04","158,80",France,FALLING
2023-03-12,DATES,"2781,33","62,76",France,VOLATILE
2023-04-17,DATES,"2664,92","179,78",France,UNPREDICTABLE
2025-08-16,WHEAT,"871,31","108,64",Germany,STABLE
2024-12-22,DATES,"2124,91","136,01",Germany,UNPREDICTABLE
2024-04-08,CITRUS_FRUITS,"1404,69","124,19",France,UNPREDICTABLE
2023-10-22,WHEAT,"799,08","91,64",France,UNPREDICTABLE
2024-02-25,WHEAT,"762,99","101,04",Germany,STABLE
2024-10-18,DATES,"2493,64","92,04",France,RISING
2025-02-07,OLIVE_OIL,"3720,67","98,16",France,RISING
2025-01-10,CITRUS_FRUITS,"1076,38","118,73",France,VOLATILE
2025-01-29,OLIVE_OIL,"3379,93","78,66",Germany,FALLING
2024-08-29,DATES,"2479,18","199,62",Germany,VOLATILE
2023-12-04,WHEAT,"772,12","127,23",Germany,FALLING
2025-07-10,OLIVE_OIL,"3971,28","159,55",Germany,STABLE
2024-04-05,WHEAT,"812,78","101,93",Germany,UNPREDICTABLE
2023-02-23,OLIVE_OIL,"3159,62","183,70",France,STABLE
2023-04-09,OLIVE_OIL,"3538,72","61,55",France,STABLE
2025-04-29,DATES,"2578,90","103,59",Germany,VOLATILE
2024-01-28,CITRUS_FRUITS,"1263,04","147,33",Germany,UNPREDICTABLE
2025-03-24,CITRUS_FRUITS,"1415,90","153,40",Germany,RISING
2023-04-25,DATES,"2519,81","135,01",France,FALLING
2025-07-14,CITRUS_FRUITS,"1327,37","131,43",Germany,FALLING
2025-08-31,WHEAT,"775,54","111,28",Germany,RISING
2023-01-09,OLIVE_OIL,"3145,92","89,11",France,VOLATILE
2022-12-27,CITRUS_FRUITS,"1134,35","165,46",France,RISING
2023-06-24,WHEAT,"813,12","157,71",France,RISING
2025-03-04,WHEAT,"898,30","175,44",France,STABLE
2023-01-28,WHEAT,"773,80","159,97",France,STABLE
2023-12-08,DATES,"2949,13","53,90",Germany,FALLING
2025-10-30,CITRUS_FRUITS,"1190,73","141,82",France,STABLE
2023-10-08,CITRUS_FRUITS,"1407,57","108,57",France,VOLATILE
2024-02-28,CITRUS_FRUITS,"1138,55","146,53",France,UNPREDICTABLE
2024-09-22,OLIVE_OIL,"3176,46","157,77",Germany,RISING
2024-08-31,DATES,"2769,65","141,33",France,RISING
2024-12-16,CITRUS_FRUITS,"1344,01","129,92",France,FALLING
2023-01-15,WHEAT,"735,38","143,80",Germany,RISING
2025-07-29,DATES,"2524,26","113,19",France,UNPREDICTABLE
2024-07-09,DATES,"2268,19","183,29",Germany,VOLATILE
2023-10-26,DATES,"2162,69","109,13",Germany,STABLE
2025-05-19,OLIVE_OIL,"3555,50","69,45",Germany,STABLE
2025-06-24,WHEAT,"856,97","81,27",France,RISING
2025-12-18,WHEAT,"787,58","178,22",France,FALLING
2023-07-01,WHEAT,"865,92","177,67",Germany,RISING
2025-05-22,OLIVE_OIL,"3859,83","152,37",France,RISING
2024-01-04,WHEAT,"796,77","143,40",France,UNPREDICTABLE
2025-12-14,CITRUS_FRUITS,"1196,69","101,89",Germany,RISING
2024-02-15,OLIVE_OIL,"3146,15","126,80",France,VOLATILE
2023-02-04,WHEAT,"880,89","76,44",Germany,VOLATILE
2025-01-31,OLIVE_OIL,"3148,23","170,64",France,RISING
2025-03-30,CITRUS_FRUITS,"1106,53","69,93",Germany,UNPREDICTABLE
2024-06-26,WHEAT,"753,87","67,02",Germany,FALLING
2024-01-31,OLIVE_OIL,"3408,42","154,67",France,RISING
2022-12-24,OLIVE_OIL,"3828,92","92,03",France,FALLING
2025-08-24,CITRUS_FRUITS,"1363,96","80,10",France,VOLATILE
2023-04-18,CITRUS_FRUITS,"1196,30","174,10",Germany,RISING
2023-05-17,DATES,"2161,31","108,47",Germany,RISING
2023-06-09,OLIVE_OIL,"3376,71","187,01",France,VOLATILE
2025-03-17,WHEAT,"737,87","97,48",Germany,STABLE
2025-12-18,OLIVE_OIL,"3086,33","196,57",France,STABLE
2024-02-04,WHEAT,"763,54","177,35",Germany,FALLING
2024-03-06,WHEAT,"894,48","126,83",Germany,UNPREDICTABLE
2024-11-02,OLIVE_OIL,"3315,74","107,29",France,FALLING
2023-06-18,WHEAT,"728,48","149,83",Germany,STABLE
2025-02-23,CITRUS_FRUITS,"1160,44","133,76",Germany,UNPREDICTABLE
2024-03-25,OLIVE_OIL,"3410,71","139,95",France,STABLE
2024-11-03,DATES,"2218,10","60,58",Germany,UNPREDICTABLE
2024-11-29,WHEAT,"784,52","171,63",France,STABLE
2025-01-29,CITRUS_FRUITS,"1477,68","178,28",Germany,RISING
2025-03-19,CITRUS_FRUITS,"1319,14","176,56",Germany,VOLATILE
2024-01-09,DATES,"2704,50","87,67",Germany,FALLING
2025-10-17,WHEAT,"742,20","64,25",France,STABLE
2025-09-10,WHEAT,"705,66","190,09",France,FALLING
2025-01-05,OLIVE_OIL,"3045,33","147,00",France,UNPREDICTABLE
2023-02-27,WHEAT,"792,69","154,34",Germany,STABLE
2023-06-03,CITRUS_FRUITS,"1285,04","98,08",France,VOLATILE
2024-02-08,OLIVE_OIL,"3179,87","107,64",Germany,RISING
2024-04-19,WHEAT,"702,27","109,31",France,STABLE
2024-11-21,CITRUS_FRUITS,"1313,13","135,79",Germany,VOLATILE
2023-09-16,OLIVE_OIL,"3200,93","151,74",France,FALLING
2023-11-12,CITRUS_FRUITS,"1161,20","164,68",France,RISING
2025-12-16,CITRUS_FRUITS,"1102,39","180,70",Germany,RISING
2024-03-28,OLIVE_OIL,"3208,06","83,45",France,STABLE
2024-12-17,OLIVE_OIL,"3307,34","113,80",France,FALLING
2025-01-27,OLIVE_OIL,"3208,65","156,50",France,RISING
2024-07-13,CITRUS_FRUITS,"1068,19","98,20",France,FALLING
2025-04-19,DATES,"2928,10","159,45",Germany,VOLATILE
2023-06-02,CITRUS_FRUITS,"1481,84","120,90",Germany,FALLING
2025-02-23,CITRUS_FRUITS,"1314,38","61,47",France,RISING
2023-09-30,OLIVE_OIL,"3466,75","153,11",Germany,VOLATILE
2025-10-25,OLIVE_OIL,"3908,64","163,94",France,FALLING
2023-06-01,CITRUS_FRUITS,"1243,37","107,53",France,FALLING
2023-04-14,WHEAT,"847,25","142,88",Germany,STABLE
2025-07-27,WHEAT,"813,51","124,72",Germany,FALLING
2025-03-25,DATES,"2752,88","80,17",Germany,UNPREDICTABLE
2023-12-24,WHEAT,"762,32","92,23",France,RISING
2023-07-31,WHEAT,"700,58","155,98",France,STABLE
2025-05-15,DATES,"2836,86","187,82",France,STABLE
2024-10-01,WHEAT,"800,35","62,33",Germany,FALLING
2024-12-08,CITRUS_FRUITS,"1435,58","75,33",France,FALLING
2023-04-13,DATES,"2302,46","135,38",France,VOLATILE
2025-11-27,DATES,"2268,05","119,45",France,RISING
2024-03-06,CITRUS_FRUITS,"1484,89","91,18",Germany,FALLING
2024-02-12,CITRUS_FRUITS,"1489,93","73,26",Germany,UNPREDICTABLE
2025-10-29,DATES,"2623,44","137,65",Germany,UNPREDICTABLE
2024-07-23,WHEAT,"854,61","179,49",Germany,RISING
2023-01-20,DATES,"2959,49","122,41",France,VOLATILE
2024-09-08,OLIVE_OIL,"3221,02","64,38",Germany,VOLATILE
2023-11-12,WHEAT,"882,11","64,24",Germany,UNPREDICTABLE
2025-05-26,OLIVE_OIL,"3759,22","140,37",France,STABLE
2025-07-19,WHEAT,"871,02","52,85",France,FALLING
2023-07-29,OLIVE_OIL,"3838,33","71,23",Germany,VOLATILE
2024-07-09,WHEAT,"807,07","89,66",Germany,RISING
2025-06-14,DATES,"2460,07","140,83",France,UNPREDICTABLE
2023-05-11,DATES,"2094,93","179,38",France,STABLE
2023-02-18,OLIVE_OIL,"3631,11","154,46",France,UNPREDICTABLE
2023-08-19,CITRUS_FRUITS,"1447,72","119,92",France,RISING
2024-06-01,OLIVE_OIL,"3520,19","138,61",France,RISING
2023-01-03,DATES,"2022,76","125,65",Germany,VOLATILE
2023-07-02,OLIVE_OIL,"3353,51","93,18",France,RISING
2024-05-06,OLIVE_OIL,"3642,96","156,28",France,STABLE
2023-03-03,WHEAT,"766,75","137,20",France,RISING
2025-07-01,OLIVE_OIL,"3618,05","61,58",France,VOLATILE
2024-10-06,OLIVE_OIL,"3117,61","176,83",Germany,VOLATILE
2025-09-19,OLIVE_OIL,"3041,71","139,20",Germany,UNPREDICTABLE
2024-12-10,WHEAT,"827,44","61,71",Germany,FALLING
2023-03-20,OLIVE_OIL,"3605,13","90,61",France,VOLATILE
2025-12-14,OLIVE_OIL,"3300,43","183,64",France,VOLATILE
2025-12-11,DATES,"2953,24","97,68",Germany,UNPREDICTABLE
2023-06-21,WHEAT,"871,11","108,56",France,STABLE
2023-02-16,CITRUS_FRUITS,"1220,63","129,74",Germany,RISING
2024-12-22,DATES,"2454,88","70,58",Germany,STABLE
2023-08-12,WHEAT,"890,39","78,74",Germany,STABLE
2023-07-18,DATES,"2702,99","144,42",France,RISING
2023-09-24,WHEAT,"836,72","57,31",Germany,VOLATILE
2023-05-29,WHEAT,"844,91","199,78",France,RISING
2023-06-02,CITRUS_FRUITS,"1034,46","82,28",Germany,RISING
2023-01-24,OLIVE_OIL,"3536,92","179,00",France,UNPREDICTABLE
2023-03-06,CITRUS_FRUITS,"1117,54","53,62",France,RISING
2025-05-09,OLIVE_OIL,"3262,49","126,58",France,VOLATILE
2024-03-10,DATES,"2664,84","76,17",France,UNPREDICTABLE
2023-03-26,DATES,"2966,30","186,95",Germany,STABLE
2023-11-10,OLIVE_OIL,"3969,23","159,27",Germany,RISING
2024-04-13,CITRUS_FRUITS,"1076,87","74,01",Germany,VOLATILE
2024-07-16,DATES,"2931,67","166,60",France,FALLING
2024-10-25,WHEAT,"742,74","103,79",France,VOLATILE
2023-06-16,OLIVE_OIL,"3233,83","176,28",France,FALLING
2024-12-25,DATES,"2342,04","68,86",France,UNPREDICTABLE
2024-02-08,CITRUS_FRUITS,"1261,66","98,71",France,UNPREDICTABLE
2023-11-04,OLIVE_OIL,"3731,20","70,78",France,UNPREDICTABLE
2024-11-19,WHEAT,"846,70","137,00",Germany,RISING
2023-02-28,CITRUS_FRUITS,"1030,06","114,19",France,STABLE
2024-07-14,CITRUS_FRUITS,"1407,62","112,55",France,RISING
2025-05-10,DATES,"2570,51","103,90",France,VOLATILE
2024-10-29,DATES,"2291,26","65,76",Germany,RISING
2024-09-30,DATES,"2264,16","123,49",France,VOLATILE
2025-10-22,DATES,"2292,78","79,21",Germany,VOLATILE
2023-03-02,WHEAT,"701,31","161,85",France,STABLE
2024-01-13,OLIVE_OIL,"3988,89","158,37",France,FALLING
2025-11-14,WHEAT,"814,40","141,22",Germany,FALLING
2022-12-29,CITRUS_FRUITS,"1284,33","142,31",France,VOLATILE
2023-04-08,WHEAT,"883,06","88,00",Germany,STABLE
2023-05-14,DATES,"2186,26","104,28",Germany,FALLING
2024-11-28,DATES,"2205,33","175,00",Germany,STABLE
2023-05-16,WHEAT,"805,83","89,73",France,FALLING
2025-05-11,CITRUS_FRUITS,"1202,69","101,43",France,VOLATILE
2024-01-03,CITRUS_FRUITS,"1459,78","176,63",Germany,FALLING
2023-12-28,DATES,"2435,79","164,22",France,STABLE
2025-09-02,WHEAT,"721,87","80,63",France,FALLING
2023-06-13,OLIVE_OIL,"3203,61","111,98",Germany,FALLING
2023-12-29,DATES,"2178,47","114,98",Germany,STABLE
2023-12-21,OLIVE_OIL,"3034,89","160,25",Germany,VOLATILE
2023-02-04,OLIVE_OIL,"3197,17","102,68",France,STABLE
2024-01-18,OLIVE_OIL,"3294,37","184,31",France,RISING
2025-10-17,WHEAT,"812,42","75,85",Germany,UNPREDICTABLE
2024-10-27,OLIVE_OIL,"3227,95","193,15",Germany,RISING
2024-07-12,CITRUS_FRUITS,"1083,19","184,69",Germany,STABLE
2023-11-02,CITRUS_FRUITS,"1156,51","126,00",Germany,RISING
2025-11-25,WHEAT,"862,80","126,09",France,UNPREDICTABLE
2023-04-13,DATES,"2651,87","199,87",France,FALLING
2024-09-30,DATES,"2538,47","89,35",Germany,RISING
2025-04-30,CITRUS_FRUITS,"1096,58","74,63",Germany,UNPREDICTABLE
2023-08-15,CITRUS_FRUITS,"1368,01","153,88",France,UNPREDICTABLE
2024-09-22,DATES,"2816,85","89,01",Germany,STABLE
2024-05-26,WHEAT,"754,70","61,41",Germany,UNPREDICTABLE
2025-08-17,DATES,"2567,65","58,98",Germany,STABLE
2025-06-16,OLIVE_OIL,"3981,04","122,67",Germany,RISING
2025-06-15,DATES,"2571,97","167,10",Germany,RISING
2024-06-11,CITRUS_FRUITS,"1094,88","156,00",France,VOLATILE
2024-02-25,OLIVE_OIL,"3423,84","109,12",Germany,FALLING
2025-03-24,OLIVE_OIL,"3224,61","142,78",France,STABLE
2025-10-15,CITRUS_FRUITS,"1037,36","51,41",Germany,FALLING
2025-10-03,WHEAT,"702,49","172,30",France,STABLE
2025-06-15,WHEAT,"802,49","90,65",France,VOLATILE
2025-05-20,DATES,"2215,56","135,82",France,RISING
2025-12-20,DATES,"2764,43","194,24",France,UNPREDICTABLE
2024-08-17,DATES,"2551,03","117,47",Germany,FALLING
2024-04-22,WHEAT,"702,08","87,87",France,FALLING
2023-01-26,CITRUS_FRUITS,"1102,73","66,85",France,STABLE
2024-10-07,WHEAT,"867,91","93,78",Germany,FALLING
2025-06-21,DATES,"2505,94","75,80",Germany,RISING
2024-06-11,OLIVE_OIL,"3937,69","61,04",France,RISING
2024-05-07,DATES,"2256,98","69,36",France,VOLATILE
2025-06-16,CITRUS_FRUITS,"1369,49","166,49",France,UNPREDICTABLE
2025-08-23,OLIVE_OIL,"3403,66","158,24",Germany,STABLE
2025-09-12,WHEAT,"865,60","52,62",Germany,RISING
2024-01-12,DATES,"2931,20","88,00",France,FALLING
2024-11-23,CITRUS_FRUITS,"1063,52","155,98",France,VOLATILE
2025-07-01,OLIVE_OIL,"3161,07","157,10",France,UNPREDICTABLE
2023-04-03,DATES,"2153,38","117,53",Germany,RISING
2024-04-13,WHEAT,"870,76","164,06",Germany,RISING
2025-04-18,CITRUS_FRUITS,"1441,34","153,42",Germany,UNPREDICTABLE
2025-04-19,DATES,"2778,60","181,05",France,VOLATILE
2024-11-11,WHEAT,"700,52","52,51",Germany,FALLING
2023-12-06,OLIVE_OIL,"3660,12","88,78",Germany,RISING
2023-07-08,DATES,"2592,39","104,47",Germany,FALLING
2025-01-16,OLIVE_OIL,"3662,24","95,45",France,UNPREDICTABLE
2023-09-15,OLIVE_OIL,"3513,65","199,37",Germany,FALLING
2023-06-02,OLIVE_OIL,"3819,26","149,36",France,UNPREDICTABLE
2023-03-09,OLIVE_OIL,"3046,98","127,78",France,UNPREDICTABLE
2024-06-09,DATES,"2074,55","92,91",Germany,UNPREDICTABLE
2025-05-30,OLIVE_OIL,"3560,09","97,39",Germany,STABLE
2024-03-14,DATES,"2836,88","192,81",Germany,FALLING
2023-08-16,WHEAT,"748,48","69,94",France,UNPREDICTABLE
2023-07-04,OLIVE_OIL,"3214,47","69,07",Germany,RISING
2022-12-20,WHEAT,"738,23","159,67",France,VOLATILE
2025-06-17,DATES,"2337,08","82,55",Germany,RISING
2023-04-25,DATES,"2384,45","171,98",Germany,VOLATILE
2023-01-26,CITRUS_FRUITS,"1213,06","128,77",Germany,FALLING
2025-05-28,WHEAT,"765,20","148,53",Germany,RISING
2023-12-31,CITRUS_FRUITS,"1261,56","122,74",Germany,VOLATILE
2023-05-07,DATES,"2397,26","72,45",Germany,VOLATILE
2023-09-10,CITRUS_FRUITS,"1018,25","197,39",France,STABLE
2023-08-10,OLIVE_OIL,"3201,57","74,94",France,STABLE
2024-01-12,OLIVE_OIL,"3517,03","175,49",Germany,RISING
2024-08-24,DATES,"2435,84","121,93",France,RISING
2023-05-18,WHEAT,"764,40","162,54",France,FALLING
2023-06-30,OLIVE_OIL,"3074,71","146,95",France,RISING
2025-11-11,WHEAT,"715,63","95,70",France,FALLING
2024-11-30,DATES,"2902,47","134,12",Germany,UNPREDICTABLE
2023-07-31,OLIVE_OIL,"3103,97","170,97",Germany,FALLING
2024-06-29,OLIVE_OIL,"3677,87","142,15",Germany,UNPREDICTABLE
2024-02-26,OLIVE_OIL,"3200,66","58,83",Germany,FALLING
2025-01-29,OLIVE_OIL,"3466,93","148,45",Germany,STABLE
2023-12-22,DATES,"2473,07","105,74",France,UNPREDICTABLE
2024-11-22,CITRUS_FRUITS,"1464,47","79,17",Germany,FALLING
2023-04-04,OLIVE_OIL,"3089,70","106,29",Germany,RISING
2023-09-22,WHEAT,"818,16","129,21",Germany,UNPREDICTABLE
2023-04-01,CITRUS_FRUITS,"1071,29","118,75",France,VOLATILE
2025-04-11,CITRUS_FRUITS,"1197,43","163,18",Germany,UNPREDICTABLE
2024-11-02,DATES,"2016,90","183,72",France,RISING
2025-06-19,WHEAT,"711,09","176,18",France,UNPREDICTABLE
2023-03-19,DATES,"2930,64","193,48",France,STABLE
2023-10-10,WHEAT,"701,84","80,45",Germany,FALLING
2025-02-09,OLIVE_OIL,"3554,37","147,00",Germany,VOLATILE
2025-11-13,CITRUS_FRUITS,"1497,09","121,82",Germany,FALLING
2023-09-02,WHEAT,"874,26","162,98",France,STABLE
2025-09-20,WHEAT,"808,71","116,89",France,STABLE
2024-07-17,OLIVE_OIL,"3687,81","111,01",Germany,FALLING
2025-04-30,CITRUS_FRUITS,"1464,00","89,95",France,STABLE
2025-03-01,WHEAT,"790,92","108,17",Germany,FALLING
2024-07-15,OLIVE_OIL,"3333,04","125,63",Germany,STABLE
2023-06-16,WHEAT,"761,70","166,20",France,RISING
2023-06-26,WHEAT,"761,12","141,01",France,VOLATILE
2023-05-03,CITRUS_FRUITS,"1247,72","161,45",Germany,RISING
2024-01-14,OLIVE_OIL,"3755,53","168,63",France,VOLATILE
2025-08-21,CITRUS_FRUITS,"1292,08","137,93",Germany,UNPREDICTABLE
2025-11-19,CITRUS_FRUITS,"1023,48","128,73",Germany,VOLATILE
2023-10-02,CITRUS_FRUITS,"1065,74","90,50",France,STABLE
2023-12-09,DATES,"2964,74","57,32",France,STABLE
2025-04-16,WHEAT,"841,75","63,57",Germany,FALLING
2023-01-04,CITRUS_FRUITS,"1295,53","143,47",France,FALLING
2025-11-23,CITRUS_FRUITS,"1224,94","87,41",Germany,UNPREDICTABLE
2023-03-24,DATES,"2377,47","117,26",France,FALLING
2024-09-19,CITRUS_FRUITS,"1265,57","112,36",France,UNPREDICTABLE
2025-01-17,DATES,"2947,41","116,96",France,FALLING
2024-01-18,OLIVE_OIL,"3242,83","138,08",Germany,VOLATILE
2023-01-19,WHEAT,"782,89","101,76",France,UNPREDICTABLE
2024-03-16,DATES,"2562,77","173,09",Germany,UNPREDICTABLE
2023-12-16,DATES,"2251,47","163,64",France,UNPREDICTABLE
2025-01-30,CITRUS_FRUITS,"1196,12","146,86",Germany,STABLE
2023-11-02,WHEAT,"899,09","79,67",France,RISING
2023-06-28,OLIVE_OIL,"3864,05","84,51",France,FALLING
2024-02-29,DATES,"2324,04","83,48",Germany,UNPREDICTABLE
2023-02-10,OLIVE_OIL,"3383,14","141,51",France,STABLE
2023-02-11,WHEAT,"757,57","72,01",Germany,VOLATILE
2025-02-09,WHEAT,"761,97","133,50",Germany,RISING
2025-11-10,DATES,"2734,52","51,35",France,FALLING
2023-01-24,WHEAT,"789,20","183,39",France,UNPREDICTABLE
2023-11-09,WHEAT,"741,89","162,80",Germany,RISING
2025-12-15,WHEAT,"846,77","96,09",Germany,RISING
2023-02-28,DATES,"2868,06","167,92",France,UNPREDICTABLE
2025-09-14,DATES,"2828,16","57,96",France,STABLE
2024-07-02,CITRUS_FRUITS,"1092,61","108,77",Germany,STABLE
2023-02-17,CITRUS_FRUITS,"1225,83","196,20",France,VOLATILE
2023-10-17,OLIVE_OIL,"3496,66","147,02",France,UNPREDICTABLE
2025-02-03,DATES,"2693,76","170,52",Germany,STABLE
2023-10-14,CITRUS_FRUITS,"1328,83","173,18",Germany,STABLE
2023-07-25,OLIVE_OIL,"3662,99","157,11",France,UNPREDICTABLE
2025-07-29,OLIVE_OIL,"3354,13","114,62",Germany,STABLE
2023-02-19,OLIVE_OIL,"3153,03","122,26",France,VOLATILE
2023-07-22,CITRUS_FRUITS,"1425,64","108,63",Germany,STABLE
2024-10-08,OLIVE_OIL,"3232,75","170,79",Germany,STABLE
2024-01-11,DATES,"2214,99","194,24",Germany,FALLING
2024-12-21,CITRUS_FRUITS,"1460,11","141,53",Germany,UNPREDICTABLE
2024-12-14,CITRUS_FRUITS,"1145,50","113,92",France,FALLING
